Date,Open,High,Low,Close,Volume,Ticker
2023-01-03,14.801510894902007,14.946028158359788,14.04902671566482,14.26729679107666,401277000,NVDA
2023-01-04,14.518460195074866,14.803506485615852,14.193546280154266,14.69985294342041,431324000,NVDA
2023-01-05,14.442713107430109,14.515469810414057,14.100855645137985,14.217466354370117,389168000,NVDA
2023-01-06,14.425769075047109,14.959983243102146,13.987235680701085,14.809486389160156,405044000,NVDA
2023-01-09,15.233069416455065,16.002496236779955,15.090545335630782,15.575922966003418,504231000,NVDA
2023-01-10,15.455324830408456,15.908808523742264,15.420441615612981,15.855985641479492,384101000,NVDA
2023-01-11,15.787216717511937,15.97458997371224,15.511139335336974,15.94767951965332,353285000,NVDA
2023-01-12,16.046348710283624,16.581557963434708,15.440374057820266,16.455978393554688,551409000,NVDA
2023-01-13,16.22375667699758,16.865611678653806,16.11113426118995,16.842687606811523,447287000,NVDA
2023-01-17,16.842685620041838,17.66892351620741,16.842685620041838,17.643009185791016,511102000,NVDA
2023-01-18,17.608126319924487,17.813439222153065,17.224409065517293,17.319093704223633,439624000,NVDA
2023-01-19,16.979229999863364,17.139694698743703,16.675247952454153,16.70913314819336,452932000,NVDA
2023-01-20,16.954312559037017,17.79649791430325,16.768933461540048,17.77955436706543,564967000,NVDA
2023-01-23,18.00380415598392,19.180870344101777,17.75862551866824,19.129043579101562,655163000,NVDA
2023-01-24,18.764261688305943,19.430036855773828,18.75728504510627,19.200801849365234,496204000,NVDA
2023-01-25,18.84997803686339,19.30545594731295,18.518087479978714,19.25861167907715,449537000,NVDA
2023-01-26,19.635350144248754,20.0988007667648,19.213759381728458,19.736013412475586,489535000,NVDA
2023-01-27,19.397149193004687,20.55926424729607,19.340339917531214,20.29714012145996,542142000,NVDA
2023-01-30,19.883524636147044,20.072890161486782,19.086189204794305,19.0981502532959,488611000,NVDA
2023-01-31,19.106115765609612,19.62139305311499,18.886849603242535,19.471893310546875,498017000,NVDA
2023-02-01,19.625385818373413,21.121383652696668,19.54565246966647,20.873214721679688,660477000,NVDA
2023-02-02,20.9300225588854,21.875859651889073,20.631022997012753,21.636659622192383,564276000,NVDA
2023-02-03,20.93001883755329,21.67253700894129,20.7197215405838,21.029685974121094,429366000,NVDA
2023-02-06,20.736666558099405,21.498120569952917,20.716732749173072,21.01872444152832,452197000,NVDA
2023-02-07,21.31075078020512,22.184829243176587,21.07952350178786,22.0991153717041,664150000,NVDA
2023-02-08,22.31240089472821,22.801765903840348,21.934664092168923,22.13100814819336,559651000,NVDA
2023-02-09,22.530672149758068,22.943292158985646,22.046291560362647,22.2625675201416,523876000,NVDA
2023-02-10,21.6177224771655,22.00442812205311,20.74165187678693,21.194137573242188,550737000,NVDA
2023-02-13,21.4662318309297,21.97453265239466,20.89215094788676,21.71539878845215,474919000,NVDA
2023-02-14,21.506097057062863,22.972196070287414,21.294803588437638,22.89445686340332,675474000,NVDA
2023-02-15,22.473857186049795,22.778837224069242,22.032334555587305,22.688140869140625,420575000,NVDA
2023-02-16,22.059248242228534,22.47485853992091,21.85393529520588,21.928686141967773,412026000,NVDA
2023-02-17,21.558922723947695,21.667558774123847,20.905108479188826,21.31673240661621,465888000,NVDA
2023-02-21,20.9300198380873,21.422373121018033,20.54929284097226,20.586170196533203,410015000,NVDA
2023-02-22,20.637994986981298,21.03367135216097,20.352946875934048,20.684837341308594,513184000,NVDA
2023-02-23,23.361891451181727,23.80839853574855,22.94827344265805,23.58514404296875,1117995000,NVDA
2023-02-24,23.147606985640458,23.39577778263142,22.870533495406775,23.208402633666992,589716000,NVDA
2023-02-27,23.59112499865335,23.800424307289973,23.37584516662916,23.422687530517578,452994000,NVDA
2023-02-28,23.294119765093207,23.74561130134119,23.128672543867644,23.138639450073242,455963000,NVDA
2023-03-01,23.114717384744207,23.1785051990992,22.43299664359423,22.622364044189453,460026000,NVDA
2023-03-02,22.413063250752206,23.302089102000206,22.35724820401247,23.236309051513672,389415000,NVDA
2023-03-03,23.24229205590769,23.82035928556431,23.052924647625705,23.810392379760742,412393000,NVDA
2023-03-06,23.81139232423808,24.167201195099672,23.408737281422425,23.475515365600586,437429000,NVDA
2023-03-07,23.525353628386604,24.04869267419401,23.167487988654617,23.214340209960938,515154000,NVDA
2023-03-08,23.412708106815042,24.123454073591056,23.34990765503741,24.10451316833496,513573000,NVDA
2023-03-09,24.09853264786072,24.376651390603612,23.309037961330453,23.36187171936035,501257000,NVDA
2023-03-10,23.334956536006658,23.55226740158579,22.65411633700963,22.89236068725586,474866000,NVDA
2023-03-13,22.680036313439018,23.224308845911295,22.22647555282617,22.89335823059082,421890000,NVDA
2023-03-14,23.421679134384615,24.142391757741457,23.385791805819586,23.98688507080078,474910000,NVDA
2023-03-15,23.685843355775486,24.209182394285897,23.286112651373358,24.1513671875,524486000,NVDA
2023-03-16,23.951003432054158,25.507064935559395,23.818422785484607,25.460214614868164,583253000,NVDA
2023-03-17,25.89981804779798,26.3154988744337,25.58681016478867,25.643630981445312,848547000,NVDA
2023-03-20,25.533978703666488,25.94168541899632,25.050512165831673,25.818077087402344,432747000,NVDA
2023-03-21,26.097193730071265,26.30852307379936,25.300721156644958,26.116132736206055,547408000,NVDA
2023-03-22,26.341419806309574,27.501739659700768,26.15401470388089,26.38428497314453,797295000,NVDA
2023-03-23,27.02923590014394,27.412022096248382,26.605580921982124,27.104995727539062,564889000,NVDA
2023-03-24,26.945497674200514,27.081067169624458,26.27163535426083,26.694293975830078,454920000,NVDA
2023-03-27,26.752112468073136,26.91459699343309,26.281605317466703,26.447080612182617,361026000,NVDA
2023-03-28,26.363349230566957,26.42914045882786,25.768237406573,26.326465606689453,356104000,NVDA
2023-03-29,26.740153636460196,26.99235175803325,26.51287415863534,26.898649215698242,393694000,NVDA
2023-03-30,27.142874491555478,27.412020935167096,27.01627538766958,27.29638671875,364516000,NVDA
2023-03-31,27.054154149877146,27.745959234891043,27.019265008815836,27.68914031982422,433933000,NVDA
2023-04-03,27.42198793508251,27.911434092903463,27.249534811234103,27.876544952392578,398716000,NVDA
2023-04-04,27.877543026671038,27.911435879998983,27.220627051021687,27.366165161132812,368592000,NVDA
2023-04-05,26.744144875078504,26.912609078932793,26.311517528579387,26.79598045349121,515015000,NVDA
2023-04-06,26.499912714821207,26.99434412357807,26.34340972671135,26.951480865478516,397654000,NVDA
2023-04-10,26.738160454997114,27.53363676470612,26.584648216789198,27.491769790649414,395279000,NVDA
2023-04-11,27.63630792496598,27.702099147015957,27.040197966487828,27.08306312561035,314378000,NVDA
2023-04-12,27.28342808388289,27.381117678822534,26.36434353627186,26.411195755004883,446259000,NVDA
2023-04-13,26.649439996093154,26.801955937603214,26.245722222126854,26.379297256469727,353615000,NVDA
2023-04-14,26.420164544474495,26.797965435367647,26.137062473302613,26.67336082458496,395660000,NVDA
2023-04-17,26.480973631209377,26.920578703015185,26.34939118660513,26.91659164428711,321471000,NVDA
2023-04-18,27.445915621619545,28.02109026862938,27.270471706452536,27.579490661621094,604812000,NVDA
2023-04-19,27.274458372050166,27.91143718116391,27.145866682608375,27.842655181884766,358660000,NVDA
2023-04-20,27.58347456890567,27.941340187321615,26.914597451904964,27.018268585205078,427713000,NVDA
2023-04-21,26.866750601318966,27.09702084669948,26.637478546679382,27.033222198486328,345103000,NVDA
2023-04-24,26.9275609756168,27.279443208222265,26.58664173033635,26.95646858215332,339282000,NVDA
2023-04-25,26.99234953614374,27.160815601118838,26.14204889645108,26.157997131347656,378527000,NVDA
2023-04-26,26.91659491739221,27.243556588640125,26.62053343037328,26.870738983154297,406337000,NVDA
2023-04-27,27.276452656846956,27.408035115051412,26.54078605798617,27.13988494873047,377161000,NVDA
2023-04-28,27.138887339013703,27.670200494580325,26.985373211032865,27.661230087280273,292216000,NVDA
2023-05-01,27.751940608520385,28.96608841417271,27.69213092438785,28.81855583190918,570329000,NVDA
2023-05-02,28.58928408497182,28.744790786364405,27.994172302997715,28.120769500732422,402730000,NVDA
2023-05-03,27.75194164873796,28.277275162589756,27.385105610028088,27.714061737060547,383387000,NVDA
2023-05-04,27.563540293710812,27.770882582276077,27.15384096655844,27.474822998046875,321850000,NVDA
2023-05-05,27.737986024481625,28.66404652957751,27.64328719583459,28.589284896850586,361494000,NVDA
2023-05-08,28.4317819808544,29.127574105075855,28.26032704979517,29.058792114257812,344979000,NVDA
2023-05-09,28.807588662660574,28.881353997290418,28.36000950451593,28.48062515258789,314869000,NVDA
2023-05-10,28.9132576098521,29.020917714127965,28.37097953587767,28.793638229370117,369350000,NVDA
2023-05-11,28.804604853160228,28.8584349085419,28.15666111611045,28.48760986328125,322149000,NVDA
2023-05-12,28.438761858901234,28.688969297483915,27.957289789783168,28.2503604888916,274222000,NVDA
2023-05-15,28.4178275338678,28.877369814441632,28.06295457930079,28.861419677734375,293926000,NVDA
2023-05-16,28.74977851008436,29.775525121763952,28.74080810173077,29.120601654052734,449405000,NVDA
2023-05-17,29.49042519794485,30.103479719693794,29.336912970483333,30.08254623413086,432535000,NVDA
2023-05-18,30.313810002939846,31.727323998249158,30.224094529757522,31.57779884338379,748725000,NVDA
2023-05-19,31.436252487669602,31.480113941471256,30.818214581828073,31.16511344909668,473908000,NVDA
2023-05-22,30.803258976791746,31.420302459294863,30.582959233506156,31.077390670776367,372000000,NVDA
2023-05-23,30.901946256374558,31.189035411939713,30.534113929383956,30.590932846069336,356253000,NVDA
2023-05-24,30.114442718121378,30.510188241482325,29.711721267992726,30.44140625,721419000,NVDA
2023-05-25,38.401160440134305,39.35513442457125,36.51913121339952,37.85987854003906,1543911000,NVDA
2023-05-26,37.77015525878446,39.04610546738504,37.431230509295986,38.82281494140625,714397000,NVDA
2023-05-30,40.466608867654166,41.80535978680283,39.82265210357987,39.98413848876953,923401000,NVDA
2023-05-31,39.363100391824844,40.16754710014043,37.702369501651916,37.714332580566406,1002580000,NVDA
2023-06-01,38.36724572050486,39.92330861256967,38.21871878792267,39.644195556640625,635873000,NVDA
2023-06-02,39.970171105133474,40.37189627228211,38.934456059073696,39.202606201171875,482731000,NVDA
2023-06-05,38.78593155134608,39.439854864368684,38.58457081030142,39.04710388183594,396094000,NVDA
2023-06-06,38.70717259864525,39.03612674683027,38.02732692748613,38.5317268371582,388729000,NVDA
2023-06-07,38.795932772814304,39.378145544208294,37.241700924960675,37.36033630371094,511998000,NVDA
2023-06-08,37.60856808894223,38.745079216522015,37.39024024122493,38.39216232299805,417772000,NVDA
2023-06-09,38.917552324899084,39.58948978920315,38.44899302917782,38.651371002197266,427717000,NVDA
2023-06-12,39.08005218877828,39.4090404400651,38.49983232769968,39.36118698120117,388701000,NVDA
2023-06-13,40.06303253313572,40.97523356570902,39.61839813533891,40.8964729309082,613208000,NVDA
2023-06-14,40.699085309650826,42.868425731448234,40.427914429279454,42.86543655395508,740465000,NVDA
2023-06-15,42.471645001516485,43.15654315104166,42.01803541267758,42.52248764038086,568622000,NVDA
2023-06-16,43.317050916384595,43.587221609742976,42.53046366608263,42.561370849609375,655709000,NVDA
2023-06-20,42.86643115503074,43.85539630398405,42.543421257103255,43.6739501953125,451153000,NVDA
2023-06-21,43.36790182544375,43.48155524685511,41.951251954396085,42.91329574584961,551603000,NVDA
2023-06-22,42.12370403758317,43.29311498837631,42.104764976671774,42.89334487915039,417737000,NVDA
2023-06-23,42.334073901022386,42.67801572091921,41.88644639488769,42.07985305786133,358140000,NVDA
2023-06-26,42.33107741154621,42.63315169907878,39.97730148068593,40.50767517089844,594322000,NVDA
2023-06-27,40.6741670319384,41.811674756586335,40.32424305595563,41.74787139892578,462175000,NVDA
2023-06-28,40.535581905804115,41.71695722321169,40.39401812376897,40.99118423461914,582639000,NVDA
2023-06-29,41.430838173608656,41.4727094781301,40.47576930987673,40.69709014892578,380514000,NVDA
2023-06-30,41.55247453077657,42.41981157958306,41.37402135436548,42.172569274902344,501148000,NVDA
2023-07-03,42.38690406882019,42.76673879586181,42.07286928017555,42.28322219848633,198209000,NVDA
2023-07-05,42.00606914984757,43.04488054432272,41.95622290579701,42.18751525878906,323618000,NVDA
2023-07-06,41.7159643183622,42.04993834721711,41.219487041278335,41.97417068481445,303582000,NVDA
2023-07-07,42.192505558452375,43.08177839649904,42.050941741012366,42.37295150756836,355881000,NVDA
2023-07-10,42.52646773776905,42.679995816404,41.52154907156506,42.050926208496094,353908000,NVDA
2023-07-11,42.35100950902143,42.6271623304336,41.938278668558176,42.27524185180664,298244000,NVDA
2023-07-12,42.90132541025079,43.80056583036438,42.64610822063504,43.76766586303711,481277000,NVDA
2023-07-13,44.381783639889846,46.01377191487625,44.35586222212897,45.83631896972656,478204000,NVDA
2023-07-14,46.44046575236375,47.94086182574558,44.92212700668265,45.32987594604492,772075000,NVDA
2023-07-17,46.14736542203415,46.35372896631426,45.12350743190866,46.3188362121582,510488000,NVDA
2023-07-18,46.55809821761458,47.749441291791726,45.594058117307526,47.348670959472656,569164000,NVDA
2023-07-19,47.31876592185892,47.67168281088611,46.59897504315981,46.93294906616211,427502000,NVDA
2023-07-20,46.36469771901338,46.942924858819666,44.92411943835553,45.38071823120117,537865000,NVDA
2023-07-21,45.647898491989125,45.72566275241697,43.96506361938245,44.173423767089844,963769000,NVDA
2023-07-24,44.594129747804274,44.970975292246095,43.90524600694248,44.475494384765625,382516000,NVDA
2023-07-25,44.803485791149136,46.04168213917605,44.7855393181674,45.53922653198242,348081000,NVDA
2023-07-26,45.88018262099463,45.912086196628444,44.493440026375104,45.312923431396484,364237000,NVDA
2023-07-27,46.37666127130996,47.249980321992574,45.610013268331116,45.75955581665039,455976000,NVDA
2023-07-28,46.525202843607126,46.883105518604516,46.23908226392985,46.60695266723633,331194000,NVDA
2023-07-31,46.61094263427025,46.98579159307672,46.363700375175576,46.58601760864258,251055000,NVDA
2023-08-01,46.31783943234634,46.75649554152621,45.886165676964275,46.36469650268555,237858000,NVDA
2023-08-02,45.69076572472491,45.69973706046443,43.25424373168055,44.133544921875,530142000,NVDA
2023-08-03,43.665971916513115,44.97993964791756,43.665971916513115,44.3787841796875,324176000,NVDA
2023-08-04,44.84735241415571,45.50233976816819,44.25716479958756,44.54328536987305,362666000,NVDA
2023-08-07,44.97296316545108,45.4006513036196,44.42663967720104,45.27802658081055,322154000,NVDA
2023-08-08,44.71576464833741,45.10357437055074,43.9212023339013,44.52734375,353843000,NVDA
2023-08-09,44.13852436844698,44.17641010034291,42.00507315736143,42.423789978027344,586449000,NVDA
2023-08-10,42.03099398742127,43.440668733202855,41.70698769798923,42.258296966552734,492705000,NVDA
2023-08-11,41.623246353337215,41.889431464332574,40.51464942799337,40.72998809814453,533085000,NVDA
2023-08-14,40.36212325448417,43.66598244053229,40.18765947033582,43.61912536621094,690286000,NVDA
2023-08-15,44.42365913256692,45.1294930156629,43.57625763398883,43.8055534362793,676512000,NVDA
2023-08-16,44.38377612065419,44.53830062758481,43.27318256792619,43.35293960571289,527451000,NVDA
2023-08-17,43.835452445012606,43.92716998066587,42.86941583301397,43.211368560791016,452395000,NVDA
2023-08-18,42.50453430031579,43.44464949085575,41.53251934270982,43.16650390625,583768000,NVDA
2023-08-21,44.35785535241688,46.920987674468684,44.08668826541733,46.82328796386719,692573000,NVDA
2023-08-22,47.98770551423466,48.03954834169377,45.194281473370985,45.528255462646484,755293000,NVDA
2023-08-23,45.72566082679112,47.05557870269102,45.06967322504148,46.97183609008789,779046000,NVDA
