ticker,company,sector,latest_price,avg_volume,total_return,volatility,beta
NVDA,NVIDIA CORP,Technology,218.2899932861328,319702908.3153348,14.300024698628274,0.4832271515934189,2.1151485184949603
AAPL,Apple Inc.,Technology,332.2699890136719,55557822.786177106,1.7040916753638977,0.25918004035978576,1.0942662156533656
GOOGL,Alphabet Inc.,Technology,338.5,31960799.136069115,2.834392616733342,0.3073744033470046,1.2134665534712854
MSFT,MICROSOFT CORP,Technology,495.6300048828125,25779318.57451404,1.131645146954169,0.26360338438047975,1.044823020282192
META,"Meta Platforms, Inc.",Communication Services,648.030029296875,17908044.492440604,4.240666319751099,0.39044529744817186,1.527514317457731
TSLA,"Tesla, Inc.",Consumer Discretionary,365.44000244140625,99238805.93952484,2.380573613318707,0.5781857199740419,2.2958632669718897
JPM,JPMORGAN CHASE & CO,Financials,356.2300109863281,9624241.360691145,1.8789713985804606,0.229958652260194,0.8929525887006288
WMT,Walmart Inc.,Consumer Staples,107.1500015258789,19574769.654427648,1.3366943655251036,0.2154958602402639,0.3993362594906036
ABBV,AbbVie Inc.,Healthcare,257.1199951171875,5942223.542116631,0.8091299208413811,0.24045381498817064,0.24973238216447102
BAC,BANK OF AMERICA CORP /DE/,Financials,62.689998626708984,41000839.956803456,1.0563936995331265,0.24860829313472468,0.954333227094061
COST,COSTCO WHOLESALE CORP /NEW,Consumer Staples,904.77001953125,2069436.8250539957,1.0888887479739067,0.20064463879654876,0.5173177474681768
CVX,CHEVRON CORP,Energy,214.05999755859375,8816376.56587473,0.4345226542660594,0.22952417189662663,0.3742238866846096
KO,COCA COLA CO,Consumer Staples,88.29000091552734,15209980.561555076,0.5554997134939317,0.15842059790217447,0.07365227507618685
MRK,"Merck & Co., Inc.",Healthcare,143.92999267578125,10581884.44924406,0.4398102843155616,0.2531064778912462,0.27771429277636384
CAT,CATERPILLAR INC,Industrials,818.5700073242188,2795584.1252699783,2.628628049452768,0.3177569747776763,1.2714524210271532
UNH,UNITEDHEALTH GROUP INC,Healthcare,379.0899963378906,6547133.801295896,-0.21744418660982612,0.34640073960834655,0.271477165413668
GE,GENERAL ELECTRIC CO,Industrials,323.6600036621094,5999079.248380129,5.224121712531361,0.3010669980287515,1.135071873422488
PG,PROCTER & GAMBLE Co,Consumer Staples,145.27000427246094,7602567.278617711,0.05685545700511985,0.17324140341866284,0.1533118105296577
NFLX,NETFLIX INC,Communication Services,77.4000015258789,46043346.86825054,1.624173565810639,0.3454851970397513,0.9261957049032862
MS,MORGAN STANLEY,Financials,214.3800048828125,6813592.11663067,1.8134600887536254,0.2812960794459065,1.2757727675917714
HD,"HOME DEPOT, INC.",Consumer Discretionary,308.739990234375,3710620.842332613,0.07765886394503485,0.22740052196695912,0.7729471000747538
WFC,WELLS FARGO & COMPANY/MN,Financials,90.29000091552734,17459522.678185746,1.37524433353919,0.28255218713081465,0.9731046197844937
CRM,"Salesforce, Inc.",Technology,247.72000122070312,8214779.69762419,0.8697556654723799,0.3730474538333022,1.0528116779142638
VS,,,1.1299999952316284,390639.57127429807,-0.8504024544589761,1.9157992454431951,1.0520869475521775
PEP,PEPSICO INC,Consumer Staples,136.32000732421875,6517451.187904968,-0.13556076316772603,0.1904237993355378,0.1175273611701273
MCD,MCDONALDS CORP,Consumer Discretionary,252.52999877929688,3328648.4881209503,0.044076769499024726,0.1735084276874095,0.25105646369496076
DIS,Walt Disney Co,Communication Services,106.55000305175781,10983948.59611231,0.2351898313002767,0.27466141488275425,0.9109275168162748
T,AT&T INC.,Communication Services,26.059999465942383,39921363.06695464,0.7057946250211227,0.24123341035779958,0.06736816777157778
NEE,NEXTERA ENERGY INC,Utilities,82.30999755859375,10663627.213822894,0.09477768887350968,0.2624946417829394,0.3721477082362408
COP,CONOCOPHILLIPS,Energy,137.35000610351562,6832651.079913607,0.3684037301568903,0.2920232302772136,0.4847237887283087
BA,BOEING CO,Industrials,210.4499969482422,7547907.559395248,0.07707660374449854,0.33471669370517854,1.0931627218449498
PFE,PFIZER INC,Healthcare,27.719999313354492,39717741.360691145,-0.3235297266370396,0.23684379615377246,0.3893631549291964
SO,SOUTHERN CO,Utilities,87.16999816894531,4829300.863930886,0.3854894348594917,0.17817941946086285,0.07611644109445515
DUK,Duke Energy CORP,Utilities,119.41999816894531,3338391.7926565874,0.33061887146348345,0.1706529397777864,0.03170658418647046
UPS,UNITED PARCEL SERVICE INC,Industrials,100.27999877929688,4968070.734341253,-0.301945644817215,0.2833094724366483,0.8286145839298776
SLB,SLB LIMITED/NV,Energy,56.060001373291016,12960800.323974082,0.19279580470209723,0.33714526228451813,0.9119979138419096
EOG,EOG RESOURCES INC,Energy,147.36000061035156,3514656.5874730023,0.3556937851701969,0.277288073887866,0.4247911295570516
AEP,AMERICAN ELECTRIC POWER CO INC,Utilities,123.33000183105469,3373336.8250539955,0.4905664796424951,0.19548793902943384,0.13094740661796817
HON,HONEYWELL INTERNATIONAL INC,Industrials,202.36000061035156,3510066.347732181,0.0327908595131583,0.22473099292460538,0.7861303653155396
D,"DOMINION ENERGY, INC",Utilities,64.36000061035156,5041846.8682505395,0.22429906948966694,0.22692735495970395,0.2531068714301798
